종류,이름,1추,2추,3추,4추,5추,공격력
한손검,세이버,175,136,103,75,51,283
한손도끼,엑스,175,136,103,75,51,283
한손둔기,해머,175,136,103,75,51,283
두손검,투핸드소드,182,142,108,78,54,295
두손도끼,투핸드엑스,182,142,108,78,54,295
두손둔기,투핸드해머,182,142,108,78,54,295
창,스피어,182,142,108,78,54,295
폴암,폴암,163,127,96,70,48,264
데스페라도,데스페라도,182,142,108,78,54,295
건틀렛리볼버,엘라하,136,106,81,59,40,221
튜너,튜너,182,142,108,78,54,295
장검,환검,182,142,108,78,54,295
완드,완드,214,167,126,92,63,347
스태프,스태프,218,170,129,94,64,353
샤이닝로드,샤이닝로드,214,167,126,92,63,347
ESP리미터,ESP리미터,214,167,126,92,63,347
매직건틀렛,매직건틀렛,214,167,126,92,63,347
활,보우,170,133,101,73,50,276
석궁,크로스보우,175,136,103,75,51,283
듀얼보우건,듀얼보우건,170,133,101,73,50,276
에인션트보우,에인션트보우,170,133,101,73,50,276
브레스슈터,브레스슈터,170,133,101,73,50,276
아대,가즈,92,72,55,40,27,149
단검,대거,170,133,101,73,50,276
케인,케인,175,136,103,75,51,283
체인,체인,170,133,101,73,50,276
부채,초선,170,133,101,73,50,276
차크람,차크람,170,133,101,73,50,276
에너지소드,에너지체인,136,106,81,59,40,221
너클,클로,136,106,81,59,40,221
건,피스톨,133,104,79,58,39,216
핸드캐논,시즈건,186,145,110,80,55,302
소울슈터,소울슈터,136,106,81,59,40,221
