종류,이름,1추,2추,3추,4추,5추,공격력
한손검,세이버,101,79,60,44,30,197
한손도끼,엑스,101,79,60,44,30,197
한손둔기,비트해머,101,79,60,44,30,197
두손검,브로드세이버,106,82,63,46,31,205
두손도끼,브로드엑스,106,82,63,46,31,205
두손둔기,브로드해머,106,82,63,46,31,205
창,피어싱스피어,106,82,63,46,31,205
폴암,핼버드,95,74,56,41,28,184
데스페라도,데스페라도,106,82,63,46,31,205
건틀렛리볼버,파일갓,79,62,47,34,24,154
튜너,튜너,106,82,63,46,31,205
완드,스펠링완드,124,97,73,54,37,241
스태프,스펠링스태프,126,98,75,54,37,245
샤이닝로드,샤이닝로드,124,97,73,54,37,241
ESP리미터,ESP리미터,124,97,73,54,37,241
매직건틀렛,매직건틀렛,124,97,73,54,37,241
활,슈팅보우,99,77,59,43,29,192
석궁,크로스보우,101,79,60,44,30,197
듀얼보우건,듀얼보우건,99,77,59,43,29,192
에인션트보우,에인션트보우,99,77,59,43,29,192
브레스슈터,브레스슈터,99,77,59,43,29,192
아대,리벤지가즈,53,42,32,23,16,103
단검,슬래셔,99,77,59,43,29,192
케인,핀쳐케인,101,79,60,44,30,197
에너지소드,에너지소드,79,62,47,34,24,154
체인,체인,99,77,59,43,29,192
부채,괴선,99,77,59,43,29,192
너클,블로우너클,79,62,47,34,24,154
건,포인팅건,77,60,46,33,23,150
핸드캐논,블래스트캐논,108,84,64,47,32,210
소울슈터,소울슈터,79,62,47,34,24,154
